Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
19	54102728	54109257	ENSG00000170906
1	35433490	35557950	ENSG00000142687
6	20534457	21232404	ENSG00000145996
3	11272309	11557665	ENSG00000197548
17	8878911	8965712	ENSG00000141506
2	189441433	189475565	ENSG00000115368
CHR_HSCHR6_MHC_SSTO_CTG1	33216374	33227649	ENSG00000226826
1	92298965	92402056	ENSG00000122484
11	119189638	119196769	ENSG00000248712
X	2903970	2929351	ENSG00000006756
9	129887187	130043194	ENSG00000187239
11	5938751	5951347	ENSG00000184478
16	2988256	3002016	ENSG00000270168
19	36014660	36033343	ENSG00000105270
20	45361937	45376798	ENSG00000204070
19	12646511	12666742	ENSG00000104774
19	48465837	48472431	ENSG00000268465
2	240560054	240564014	ENSG00000188542
19	53992288	54012669	ENSG00000130433
2	18554723	18560680	ENSG00000240857
5	141943585	141969741	ENSG00000113555
3	8980591	9363053	ENSG00000196220
19	39731250	39738028	ENSG00000105205
17	48540894	48544989	ENSG00000173917
3	46515423	46580099	ENSG00000163827
12	10212458	10223130	ENSG00000139112
15	90001392	90082206	ENSG00000140548
X	57134530	57137625	ENSG00000147059
7	74231499	74254458	ENSG00000049541
7	135728348	135748846	ENSG00000189320
17	4940008	4945222	ENSG00000108523
6	46549580	46652830	ENSG00000146233
16	30896607	30903560	ENSG00000150281
19	51097606	51108370	ENSG00000142544
15	55317184	55319161	ENSG00000225973
20	20017116	20033655	ENSG00000173418
18	23134564	23260467	ENSG00000134508
6	39792298	39904877	ENSG00000146122
X	145246828	145256112	ENSG00000203923
1	23778405	23788232	ENSG00000057757
18	23197144	23437961	ENSG00000134490
3	51861629	51863424	ENSG00000184345
11	3645128	3664416	ENSG00000129744
5	180784782	180815652	ENSG00000131446
19	51029092	51035230	ENSG00000186474
1	201622885	201826969	ENSG00000134369
6	26021679	26021990	ENSG00000278637
6	30647039	30653210	ENSG00000204564
12	54032853	54035358	ENSG00000172789
2	264140	278283	ENSG00000143727
5	138083892	138092365	ENSG00000061492
X	12906620	12923169	ENSG00000101916
18	9334767	9402420	ENSG00000128791
3	118900557	119146068	ENSG00000144847
11	3638503	3642316	ENSG00000167311
19	53866223	53876437	ENSG00000179820
15	40281444	40282586	ENSG00000230778
17	40875941	40885227	ENSG00000171431
CHR_HSCHR17_7_CTG4	35871491	35880793	ENSG00000274233
11	49053714	49059112	ENSG00000214891
X	141838316	141897832	ENSG00000165509
X	49113389	49123801	ENSG00000068394
19	45001430	45038198	ENSG00000104856
1	145911350	145918837	ENSG00000131779
9	35752990	35756613	ENSG00000215183
21	41420304	41459214	ENSG00000157601
11	34051683	34101156	ENSG00000135387
Y	25622162	25624902	ENSG00000172288
X	71366239	71532374	ENSG00000147133
17	17977409	18039209	ENSG00000171953
4	190024351	190027257	ENSG00000205097
CHR_HSCHR6_MHC_SSTO_CTG1	29356146	29432443	ENSG00000227137
10	81875314	82987179	ENSG00000185737
2	112584240	112589275	ENSG00000125611
5	62387254	62403939	ENSG00000086189
7	116287380	116508541	ENSG00000105971
4	72280969	72569386	ENSG00000156140
20	63587602	63627041	ENSG00000101216
16	67562407	67639185	ENSG00000102974
22	19756703	19783593	ENSG00000184058
1	200404940	200410056	ENSG00000162702
2	119223831	119265652	ENSG00000115107
10	80537902	80646560	ENSG00000178217
X	105822543	105958610	ENSG00000123572
11	33858576	33892289	ENSG00000135363
CHR_HSCHR6_MHC_QBL_CTG1	29672300	29681010	ENSG00000206510
4	9771153	10054936	ENSG00000109667
CHR_HSCHR6_MHC_SSTO_CTG1	28944738	28945398	ENSG00000233566
11	22625509	22813055	ENSG00000148935
19	18868545	18896727	ENSG00000223802
20	38127387	38166578	ENSG00000198959
16	8881634	8885351	ENSG00000283516
3	23805903	23891316	ENSG00000170142
4	25377213	25418498	ENSG00000053900
10	97614553	97633500	ENSG00000171160
9	69012529	69014113	ENSG00000165059
6	41158506	41163186	ENSG00000095970
CHR_HSCHR6_MHC_COX_CTG1	31151089	31156758	ENSG00000224379
22	26443423	26483837	ENSG00000100099
9	94726701	95087218	ENSG00000148120
11	119121587	119136044	ENSG00000172273
10	30012800	30115494	ENSG00000165757
19	8052767	8062650	ENSG00000131142
15	75355207	75368630	ENSG00000140400
17	8339864	8346048	ENSG00000184650
6	151494030	151621193	ENSG00000120262
17	3608262	3636322	ENSG00000197417
CHR_HSCHR19LRC_PGF1_CTG3_1	54463149	54476118	ENSG00000276033
4	164877004	164898965	ENSG00000248329
1	78619922	78646145	ENSG00000137959
11	46277661	46321422	ENSG00000157613
4	9339403	9340995	ENSG00000227140
X	71283192	71301168	ENSG00000147140
4	9253378	9255329	ENSG00000248920
6	121079494	121334745	ENSG00000146350
14	23520855	23556192	ENSG00000136367
7	17790761	17940501	ENSG00000071189
14	19930917	19936757	ENSG00000155249
X	56729241	56818380	ENSG00000204272
X	48476021	48486364	ENSG00000068438
1	193090866	193106114	ENSG00000023572
19	53519527	53580269	ENSG00000130844
12	81257975	81759553	ENSG00000139220
4	9170409	9176730	ENSG00000229924
7	4775615	4794395	ENSG00000242802
15	37921939	37967724	ENSG00000166069
X	106813871	107000244	ENSG00000133131
6	27837947	27838339	ENSG00000275221
1	43145153	43156396	ENSG00000186973
6	27871905	27872315	ENSG00000275379
12	15882391	15903478	ENSG00000023734
18	10525905	10552761	ENSG00000134265
2	20447074	20449445	ENSG00000143878
10	35247025	35572669	ENSG00000108100
CHR_HSCHR6_MHC_SSTO_CTG1	29720539	29736235	ENSG00000229698
9	130664594	130682981	ENSG00000130711
8	33591332	33600106	ENSG00000133878
22	38111495	38205690	ENSG00000184381
19	10333776	10339823	ENSG00000076662
18	46173553	46266991	ENSG00000152242
5	151661096	151687165	ENSG00000113140
X	7048920	7148190	ENSG00000130021
3	190514051	190659750	ENSG00000196083
2	5692667	5701385	ENSG00000176887
11	119338939	119340940	ENSG00000223953
CHR_HSCHR6_MHC_QBL_CTG1	30059837	30065413	ENSG00000206500
5	141417645	141512979	ENSG00000254122
6	84033756	84090881	ENSG00000135324
2	38797729	38875934	ENSG00000163214
14	24131275	24132849	ENSG00000139914
11	128836315	128867373	ENSG00000151704
14	90847862	91060636	ENSG00000100784
20	31257664	31259632	ENSG00000215547
12	10442264	10454685	ENSG00000134545
16	71565660	71577130	ENSG00000198650
CHR_HSCHR6_MHC_DBB_CTG1	30561610	30587416	ENSG00000232169
1	115976498	116070054	ENSG00000163393
5	151437046	151492381	ENSG00000123643
1	205302059	205321791	ENSG00000163545
6	44113454	44127457	ENSG00000180992
17	76136333	76141299	ENSG00000129654
14	36678431	37172866	ENSG00000183032
12	31791185	31792241	ENSG00000188375
17	48724763	48729178	ENSG00000159184
20	3162617	3173592	ENSG00000088899
2	20032650	20052028	ENSG00000068697
22	38078134	38084093	ENSG00000100156
12	24810022	24949459	ENSG00000060982
18	9914002	9960021	ENSG00000101558
9	27546545	27573866	ENSG00000147894
1	39624153	39639945	ENSG00000163909
17	41476689	41481140	ENSG00000197079
CHR_HSCHR6_MHC_SSTO_CTG1	30692058	30710140	ENSG00000231135
19	38647649	38731583	ENSG00000130402
14	105300563	105398147	ENSG00000179364
10	98416198	98446947	ENSG00000107521
6	26156354	26157107	ENSG00000168298
13	26254104	26405238	ENSG00000132964
6	41770176	41786542	ENSG00000137218
19	15010744	15023269	ENSG00000160994
8	124474738	124487914	ENSG00000170881
8	124539101	124580648	ENSG00000147684
19	54137717	54155708	ENSG00000088038
X	49303669	49319844	ENSG00000215274
4	39498755	39528311	ENSG00000109814
5	181193924	181205293	ENSG00000146054
19	14789260	14835376	ENSG00000127530
19	14824251	14835285	ENSG00000188269
2	190964358	191020960	ENSG00000115415
14	105140981	105168824	ENSG00000184916
6	46746917	46759506	ENSG00000230062
14	105049389	105065445	ENSG00000183484
4	25747427	25863760	ENSG00000091490
12	53423855	53431534	ENSG00000135409
19	51379909	51387960	ENSG00000105370
3	51974706	51989183	ENSG00000114786
2	38665910	38741237	ENSG00000143891
17	41346092	41350812	ENSG00000006059
17	74466399	74484796	ENSG00000167851
CHR_HSCHR19LRC_PGF1_CTG3_1	54733566	54744515	ENSG00000274609
5	77072072	77087323	ENSG00000132846
X	115289727	115307556	ENSG00000102021
13	102729369	102759070	ENSG00000175820
5	170353487	170736632	ENSG00000182132
1	47137435	47149741	ENSG00000162365
X	57906708	57910820	ENSG00000198205
14	102224500	102305200	ENSG00000080823
20	20052514	20360702	ENSG00000089101
16	11868128	11916082	ENSG00000103342
CHR_HSCHR6_1_CTG5	170290703	170416388	ENSG00000275333
18	58044367	58401540	ENSG00000049759
5	170232447	170252575	ENSG00000234511
11	62646848	62653302	ENSG00000185085
1	56494747	56645301	ENSG00000162407
18	79679801	79756623	ENSG00000060069
19	47064187	47113752	ENSG00000130749
18	55222331	55664787	ENSG00000196628
1	202348699	202592706	ENSG00000077157
19	47045907	47048630	ENSG00000130748
17	74356416	74361946	ENSG00000204347
1	4654732	4792534	ENSG00000196581
5	170105897	170109725	ENSG00000168269
19	53963040	53990215	ENSG00000142408
14	60709528	60724348	ENSG00000100625
17	41105332	41106488	ENSG00000212722
17	41054498	41055230	ENSG00000214518
8	39934614	40016391	ENSG00000188676
4	81426393	82044244	ENSG00000138670
CHR_HSCHR6_MHC_DBB_CTG1	32016970	32093383	ENSG00000231608
1	202007945	202017188	ENSG00000163435
19	51077495	51084245	ENSG00000129437
3	119597842	119629811	ENSG00000144837
5	73444827	73448527	ENSG00000251493
3	46497491	46500949	ENSG00000163825
3	197737179	197787596	ENSG00000122068
9	976964	991731	ENSG00000064218
5	73173195	73175143	ENSG00000164325
20	56491492	56525925	ENSG00000124091
CHR_HSCHR6_MHC_COX_CTG1	31717988	31727162	ENSG00000230685
10	123706207	123940267	ENSG00000121898
20	56517187	56526142	ENSG00000124103
CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	54803354	54814544	ENSG00000278430
5	160249106	160345396	ENSG00000135083
13	32400723	32428311	ENSG00000139597
15	49155656	49367869	ENSG00000156958
12	92140278	92145897	ENSG00000133639
19	39655894	39660647	ENSG00000249861
X	49235467	49250526	ENSG00000101997
9	127815012	127854756	ENSG00000106991
12	54016931	54056030	ENSG00000198353
17	10628526	10657309	ENSG00000109063
3	13316235	13420309	ENSG00000132182
12	65278643	65491430	ENSG00000174099
12	53994895	54003337	ENSG00000180806
10	58334975	58370753	ENSG00000072401
CHR_HSCHR6_MHC_DBB_CTG1	31951992	31954474	ENSG00000236765
5	169864264	169980740	ENSG00000204767
12	91140484	91183123	ENSG00000011465
15	40872214	40874289	ENSG00000104140
4	73052362	73069755	ENSG00000163626
2	27149004	27156974	ENSG00000163792
6	3722614	3752026	ENSG00000168994
X	46912276	47061242	ENSG00000102221
11	108308519	108467531	ENSG00000166323
5	138439017	138446969	ENSG00000132563
11	17547373	17647150	ENSG00000188162
1	46929177	46941484	ENSG00000187048
12	10158301	10172138	ENSG00000173391
6	125219962	125302078	ENSG00000111906
15	20531856	20541800	ENSG00000277322
5	76403249	76708132	ENSG00000145703
5	76716043	76735781	ENSG00000181104
7	20330702	20415754	ENSG00000105855
19	34926903	34945170	ENSG00000168661
1	145845629	145848953	ENSG00000186364
16	8780384	8797648	ENSG00000184857
14	101761798	101927989	ENSG00000078304
22	37830855	37849327	ENSG00000100124
16	70807378	71230722	ENSG00000157423
X	106168305	106208956	ENSG00000157502
12	57460135	57472262	ENSG00000111087
22	32801701	32863043	ENSG00000100234
X	24054716	24077971	ENSG00000130741
20	38033546	38127780	ENSG00000101413
10	69801867	69964275	ENSG00000197467
1	197504748	197775696	ENSG00000213047
5	138331935	138349729	ENSG00000120709
6	122995971	123072927	ENSG00000146352
Y	12904108	12920478	ENSG00000067048
16	58462846	58513628	ENSG00000103034
CHR_HSCHR6_MHC_MCF_CTG1	30696164	30704850	ENSG00000229861
16	74712955	74774831	ENSG00000103089
17	10390322	10421950	ENSG00000133020
2	26581202	26641368	ENSG00000157884
7	99374249	99394816	ENSG00000130429
1	111499429	111503760	ENSG00000282608
18	50968019	51058144	ENSG00000267699
14	49598697	49614672	ENSG00000165501
8	123319850	123416350	ENSG00000156802
17	48048329	48061487	ENSG00000082641
CHR_HSCHR6_MHC_COX_CTG1	31706001	31714117	ENSG00000230060
5	168529116	168530634	ENSG00000188573
7	99438922	99457371	ENSG00000160917
1	144592868	144593527	ENSG00000279782
15	40770080	40772449	ENSG00000188277
1	23381061	23424740	ENSG00000204219
5	137745651	137754376	ENSG00000177733
22	30522799	30546682	ENSG00000214491
3	23203020	23591793	ENSG00000182247
1	144372875	144373659	ENSG00000271567
20	18567347	18569563	ENSG00000232388
1	111448864	111462773	ENSG00000116459
18	8705661	8832778	ENSG00000168502
15	38454127	38487710	ENSG00000171262
7	135361795	135510127	ENSG00000080802
1	24356999	24416934	ENSG00000001460
17	40624962	40648864	ENSG00000073584
6	31137536	31139350	ENSG00000204538
19	14583084	14611157	ENSG00000187912
14	20014143	20019307	ENSG00000169484
1	67307364	67397090	ENSG00000081985
3	36826820	36945098	ENSG00000168016
12	98726457	99984654	ENSG00000185046
19	39391303	39400637	ENSG00000063322
1	24154157	24187959	ENSG00000185436
19	50770464	50771732	ENSG00000142511
20	2840703	2866732	ENSG00000215305
6	142133090	142135151	ENSG00000203733
1	46557408	46616843	ENSG00000079277
16	11668414	11679159	ENSG00000184602
2	240045077	240047027	ENSG00000178586
9	127785679	127790787	ENSG00000136807
CHR_HSCHR6_MHC_COX_CTG1	30607552	30616238	ENSG00000227420
13	25246201	25288009	ENSG00000139505
9	133459965	133470848	ENSG00000160325
CHR_HSCHR17_2_CTG5	45856453	45858690	ENSG00000277106
2	189879609	190203484	ENSG00000187699
19	35902480	35904377	ENSG00000126264
14	19920582	19921659	ENSG00000176281
3	159839861	159897360	ENSG00000151967
3	45940933	45948353	ENSG00000172215
11	68683779	68691175	ENSG00000069482
7	99173574	99207506	ENSG00000185467
14	100879753	100903722	ENSG00000254656
12	39626167	39908300	ENSG00000180116
1	23956839	23963462	ENSG00000189266
16	67482571	67483813	ENSG00000159723
17	15436015	15503608	ENSG00000239704
19	44501677	44529788	ENSG00000273777
1	111200771	111243440	ENSG00000064886
1	23845077	23868294	ENSG00000179163
X	55717739	55758774	ENSG00000083750
6	110245928	110358272	ENSG00000053328
1	111187174	111204535	ENSG00000162777
12	21797401	21942529	ENSG00000069431
7	44748581	44769881	ENSG00000122515
X	103918896	103966712	ENSG00000158427
8	127322183	127420066	ENSG00000212993
2	28849821	28870301	ENSG00000171103
12	39550033	39619751	ENSG00000173208
CHR_HSCHR6_MHC_QBL_CTG1	33247394	33258105	ENSG00000206279
17	7240427	7244635	ENSG00000262526
11	47617315	47642623	ENSG00000109919
11	120210767	120230332	ENSG00000184232
21	43529192	43659493	ENSG00000160207
6	169702190	169704856	ENSG00000185127
9	132261356	132354985	ENSG00000107290
17	7240014	7242770	ENSG00000170296
19	53266676	53267723	ENSG00000228567
7	36512949	36724549	ENSG00000136250
10	92451684	92574076	ENSG00000119912
1	1632095	1635263	ENSG00000189409
15	40035739	40039188	ENSG00000140319
17	38352228	38405593	ENSG00000274211
13	59665583	60163987	ENSG00000139734
6	40391586	40587465	ENSG00000156564
8	18055992	18084998	ENSG00000104763
X	38801432	38806537	ENSG00000165175
5	17610496	17611583	ENSG00000249156
11	89710299	89717872	ENSG00000214414
14	23042167	23044276	ENSG00000222028
9	128941478	128957021	ENSG00000251184
1	19074506	19210276	ENSG00000127481
14	94280455	94293271	ENSG00000140093
20	34689097	34825649	ENSG00000198646
X	103707224	103728655	ENSG00000188828
CHR_HSCHR6_MHC_MANN_CTG1	30952885	30971104	ENSG00000223494
17	6451264	6556494	ENSG00000091622
21	44646414	44647650	ENSG00000243489
8	70669365	70790371	ENSG00000221947
5	38474963	38608354	ENSG00000113594
19	45995461	46021318	ENSG00000104983
19	7888505	7902021	ENSG00000171017
10	73812501	73874591	ENSG00000148660
18	50560078	50731824	ENSG00000141639
1	88852932	88891944	ENSG00000137947
3	48241100	48299253	ENSG00000164048
CHR_HSCHR15_1_CTG8	28531231	28544591	ENSG00000273651
6	169215780	169254044	ENSG00000186340
19	8697397	8698822	ENSG00000181786
10	92046692	92291087	ENSG00000107864
14	35278633	35317493	ENSG00000100902
X	48186220	48196763	ENSG00000165583
12	52644558	52652164	ENSG00000172867
16	1090005	1096244	ENSG00000184471
13	99294530	99307405	ENSG00000169508
1	34755047	34758512	ENSG00000189280
1	110112468	110113945	ENSG00000186150
1	28369582	28500369	ENSG00000204138
9	131545514	131558620	ENSG00000283526
7	152025674	152122347	ENSG00000178234
16	53598153	53703938	ENSG00000103494
4	122888697	122922968	ENSG00000170917
CHR_HSCHR6_MHC_MCF_CTG1	30262891	30291774	ENSG00000231641
X	47974851	48003978	ENSG00000147118
2	32357028	32618899	ENSG00000115760
19	18557762	18569387	ENSG00000105700
X	71239624	71255146	ENSG00000147130
CHR_HSCHR19LRC_COX2_CTG3_1	54360692	54377679	ENSG00000276163
16	24537693	24572863	ENSG00000122257
5	140847463	141012344	ENSG00000204961
5	140806929	141012344	ENSG00000204967
7	151956379	152019934	ENSG00000106648
6	37482920	37499922	ENSG00000198937
CHR_HSCHR6_MHC_APD_CTG1	30176913	30205889	ENSG00000228881
19	52928475	52962823	ENSG00000221874
11	107326345	107457844	ENSG00000152404
7	87833568	87876357	ENSG00000075303
16	67389809	67393535	ENSG00000159713
19	11925068	11950773	ENSG00000196757
19	52797409	52857600	ENSG00000198538
9	21304326	21305312	ENSG00000147873
19	49642125	49658642	ENSG00000126461
16	2155698	2178129	ENSG00000131653
22	30635652	30669016	ENSG00000100036
16	4796968	4802950	ENSG00000067836
9	86944363	86947189	ENSG00000180447
8	125024260	125091840	ENSG00000164961
4	69051363	69112987	ENSG00000171234
16	4788397	4796491	ENSG00000267795
17	63009556	63427699	ENSG00000170921
19	49580646	49591015	ENSG00000126460
12	4273772	4305350	ENSG00000118971
X	1268800	1310381	ENSG00000198223
Y	24607560	24639207	ENSG00000183795
CHR_HSCHR18_2_CTG2_1	78980275	79002678	ENSG00000263310
17	75784771	75825799	ENSG00000132478
6	43671303	43687791	ENSG00000096080
9	122788933	122789895	ENSG00000148215
CHR_HSCHR19LRC_COX2_CTG3_1	54315894	54346149	ENSG00000276798
5	50396192	50443248	ENSG00000170571
19	16185380	16192046	ENSG00000105058
17	6057807	6124427	ENSG00000179314
17	76389451	76453206	ENSG00000175931
2	86907953	87013976	ENSG00000187627
9	122526358	122527296	ENSG00000171505
9	122519141	122520082	ENSG00000239590
8	20197367	20226819	ENSG00000147416
19	7676628	7679826	ENSG00000183019
CHR_HSCHR6_MHC_QBL_CTG1	31562278	31564550	ENSG00000173503
CHR_HSCHR19LRC_COX1_CTG3_1	54701102	54715618	ENSG00000278738
11	112074086	112085150	ENSG00000150776
6	7268306	7347446	ENSG00000124783
2	231453531	231483641	ENSG00000115053
11	112064010	112074274	ENSG00000150773
CHR_HSCHR6_MHC_MCF_CTG1	29456962	29464109	ENSG00000206471
7	102347206	102356444	ENSG00000260097
22	25564849	25729294	ENSG00000100077
6	37257772	37332970	ENSG00000065491
7	112206588	112343096	ENSG00000198839
20	646626	675800	ENSG00000270299
2	65070696	65130331	ENSG00000138069
2	127184120	127220078	ENSG00000186684
3	158644278	158692575	ENSG00000168827
11	62337448	62393412	ENSG00000162174
7	100101549	100110345	ENSG00000221838
5	71455615	71567820	ENSG00000145734
9	128720869	128724127	ENSG00000160446
11	576486	612222	ENSG00000070047
15	65530418	65578352	ENSG00000074696
11	65014182	65040570	ENSG00000273003
8	81440326	81447523	ENSG00000147588
X	133300103	133415490	ENSG00000076716
14	22946228	22957161	ENSG00000092036
8	112222928	113437099	ENSG00000164796
2	96123850	96138436	ENSG00000188886
22	37560447	37569405	ENSG00000128283
3	9890572	9894349	ENSG00000171135
14	22971174	22982642	ENSG00000129474
7	27092993	27095996	ENSG00000105991
17	1702790	1710438	ENSG00000185561
CHR_HSCHR17_2_CTG2	997117	1003671	ENSG00000277649
22	50767501	50783663	ENSG00000079974
CHR_HSCHR20_1_CTG2	61950345	62005079	ENSG00000280529
8	80628451	80874781	ENSG00000164684
11	111927144	112022584	ENSG00000150764
CHR_HSCHR6_MHC_MANN_CTG1	31312208	31315579	ENSG00000237022
11	95976598	96343180	ENSG00000184384
11	66435075	66466738	ENSG00000174547
5	54517759	54546585	ENSG00000178996
13	23570370	23676104	ENSG00000127863
13	79481124	79556075	ENSG00000102471
11	66421004	66426707	ENSG00000174576
13	113177539	113208715	ENSG00000126226
19	16134028	16158575	ENSG00000196684
17	4710489	4721499	ENSG00000141480
11	5893208	5902730	ENSG00000277932
15	98437162	98547728	ENSG00000283597
X	72912615	72913401	ENSG00000283594
11	5736448	5738522	ENSG00000181023
X	72938163	72938958	ENSG00000275520
20	35278911	35284985	ENSG00000242372
11	68312609	68449275	ENSG00000162337
11	66362521	66372214	ENSG00000174669
7	144048948	144058845	ENSG00000221836
CHR_HSCHR6_MHC_DBB_CTG1	33267227	33276326	ENSG00000224782
10	87357668	87370695	ENSG00000214562
9	137255173	137273546	ENSG00000188986
13	19422877	19536762	ENSG00000132958
16	22007638	22087534	ENSG00000185716
1	107140007	107483458	ENSG00000162631
1	212830141	212847649	ENSG00000185523
1	107056679	107067636	ENSG00000198890
17	12020824	12143830	ENSG00000065559
7	47987148	48029119	ENSG00000164744
13	94601903	94634645	ENSG00000152749
CHR_HSCHR6_MHC_SSTO_CTG1	32192405	32197856	ENSG00000224952
6	31399784	31415315	ENSG00000204520
6	42564062	42693504	ENSG00000024048
14	24216852	24232454	ENSG00000129559
11	46617527	46674818	ENSG00000175224
17	34927859	34981078	ENSG00000132141
15	41387349	41402519	ENSG00000137806
9	100473113	100577636	ENSG00000241697
12	49346917	49357546	ENSG00000178401
16	50024410	50037088	ENSG00000205423
11	18693122	18704785	ENSG00000151117
1	975204	982093	ENSG00000187642
12	102120185	102197520	ENSG00000185480
4	73995642	73998779	ENSG00000163735
16	77007	85853	ENSG00000103152
16	31106107	31112791	ENSG00000103507
2	233671853	233773300	ENSG00000241119
10	69088106	69104811	ENSG00000122862
3	9649433	9702393	ENSG00000163719
11	60378530	60417756	ENSG00000166928
2	233681938	233773299	ENSG00000244122
12	9752486	9760901	ENSG00000110848
5	139470778	139474772	ENSG00000283288
3	44975241	45036066	ENSG00000075914
9	92000087	92115384	ENSG00000090054
6	147508927	147737547	ENSG00000203727
3	120628173	120682571	ENSG00000113924
19	45606994	45645629	ENSG00000125746
X	63634967	63809274	ENSG00000131089
7	149195485	149226248	ENSG00000170265
7	30911694	30925516	ENSG00000240583
CHR_HSCHR2_1_CTG5	36361959	36362656	ENSG00000277354
10	93757809	93806272	ENSG00000108231
3	192139395	192767764	ENSG00000114279
CHR_HSCHR2_1_CTG1	3498728	3502360	ENSG00000280830
CHR_HSCHR2_1_CTG1	3401777	3486461	ENSG00000274891
5	2752131	2755397	ENSG00000186493
12	11061365	11062294	ENSG00000226761
11	113733187	113773811	ENSG00000086827
12	11171222	11176016	ENSG00000256537
CHR_HSCHR17_7_CTG4	36377903	36388795	ENSG00000277974
5	171419656	171457623	ENSG00000156427
8	12064389	12071747	ENSG00000233050
11	62728069	62740293	ENSG00000162222
1	28887091	29120046	ENSG00000159023
12	55426254	55427192	ENSG00000185821
12	58872149	58920522	ENSG00000139263
13	35474182	35477209	ENSG00000180660
10	103245887	103248016	ENSG00000235376
1	36322031	36324154	ENSG00000142694
3	42581840	42595114	ENSG00000008324
14	75013764	75051532	ENSG00000119684
CHR_HSCHR20_1_CTG3	64155437	64245898	ENSG00000276876
3	191329077	191398670	ENSG00000152492
3	122794795	122881139	ENSG00000138463
15	22867052	22981063	ENSG00000273749
20	36541484	36551447	ENSG00000101335
X	106900164	106930861	ENSG00000165376
15	84600986	84627796	ENSG00000176371
4	153344649	153415118	ENSG00000121211
19	51752026	51770526	ENSG00000171049
7	30284307	30367692	ENSG00000180233
19	10304803	10309880	ENSG00000220201
3	46668997	46693704	ENSG00000178038
11	6395124	6419414	ENSG00000166313
19	42234583	42255132	ENSG00000268643
16	25236001	25257931	ENSG00000155592
CHR_HSCHR6_MHC_QBL_CTG1	31570783	31572750	ENSG00000206437
19	42247572	42255157	ENSG00000105722
4	98261384	98443861	ENSG00000138698
20	33273480	33309878	ENSG00000125999
1	206684944	206734283	ENSG00000162889
5	138868923	138875368	ENSG00000146006
20	31377164	31390603	ENSG00000180483
1	28668732	28719353	ENSG00000162419
4	102630770	102760994	ENSG00000109323
3	122680618	122730840	ENSG00000173193
CHR_HSCHR6_MHC_SSTO_CTG1	30153602	30163092	ENSG00000224145
19	2819874	2835773	ENSG00000172006
14	74852871	74871940	ENSG00000119608
4	97184093	98143240	ENSG00000163116
8	42391624	42405897	ENSG00000078668
22	40346529	40410054	ENSG00000284431
1	39838110	39883511	ENSG00000043514
19	38817471	38840178	ENSG00000268083
19	51642553	51646801	ENSG00000254415
22	49994513	50012659	ENSG00000188263
CHR_HSCHR6_MHC_QBL_CTG1	30056276	30059900	ENSG00000206501
1	116754385	116769228	ENSG00000116824
12	2857681	2877155	ENSG00000111206
5	141355025	141512979	ENSG00000262576
12	53500921	53506431	ENSG00000139546
16	25215731	25228940	ENSG00000103375
18	23503470	23531807	ENSG00000141452
X	27590382	27748821	ENSG00000189186
12	2794953	2805423	ENSG00000004478
12	10412312	10420595	ENSG00000205810
CHR_HSCHR6_MHC_APD_CTG1	32235221	32245105	ENSG00000236873
CHR_HSCHR19_4_CTG3_1	54102782	54108779	ENSG00000276061
16	56361452	56425538	ENSG00000159461
3	13549131	13638422	ENSG00000163520
16	67987746	68079320	ENSG00000167264
1	115641953	115698224	ENSG00000173218
7	91264364	91271326	ENSG00000157240
1	35573370	35595328	ENSG00000116819
X	49922615	50099235	ENSG00000171365
CHR_HSCHR6_MHC_DBB_CTG1	32104478	32106062	ENSG00000224200
6	30676389	30687895	ENSG00000146112
15	22458903	22469230	ENSG00000277865
9	74981020	75028423	ENSG00000156017
19	2732204	2740152	ENSG00000141873
2	19992111	20012694	ENSG00000132031
6	41780762	41787372	ENSG00000278224
17	18225587	18244875	ENSG00000131899
6	41736711	41754109	ENSG00000096088
5	142592178	142698070	ENSG00000113578
7	51016212	51316818	ENSG00000106078
8	42338454	42371808	ENSG00000070501
19	54155161	54159882	ENSG00000105617
CHR_HSCHR6_MHC_SSTO_CTG1	30060650	30066271	ENSG00000230467
17	48607227	48633572	ENSG00000260027
10	124445239	124450184	ENSG00000229544
X	2934632	2968310	ENSG00000157399
CHR_HSCHR17_7_CTG4	35934518	35943699	ENSG00000277042
CHR_HSCHR22_1_CTG7	23980152	23983919	ENSG00000277897
1	114567557	114581639	ENSG00000116752
20	47209214	47356889	ENSG00000101040
12	57610180	57619379	ENSG00000240771
12	94897055	95003770	ENSG00000184752
CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54738507	54752802	ENSG00000274438
1	53765460	53838860	ENSG00000058804
18	79863668	79900184	ENSG00000178342
1	47183593	47191044	ENSG00000162366
12	66347431	67069162	ENSG00000155974
6	63635820	63779336	ENSG00000118482
19	45091396	45148077	ENSG00000104866
3	69084944	69106066	ENSG00000144746
14	104937244	104978357	ENSG00000185567
1	56854806	56918221	ENSG00000157131
1	202940823	202958572	ENSG00000159346
1	202878957	202889135	ENSG00000183155
CHR_HSCHR6_MHC_QBL_CTG1	30607204	30615890	ENSG00000203624
12	66188879	66254622	ENSG00000090376
15	21637909	21638992	ENSG00000182974
16	55846154	55956031	ENSG00000159398
14	90396502	90408261	ENSG00000198668
1	56718804	56819696	ENSG00000187889
12	10372353	10410146	ENSG00000255819
6	144150526	144188370	ENSG00000135604
6	144094881	144095573	ENSG00000169976
9	35812960	35828732	ENSG00000285645
